publication_name,schemaname,tablename
supabase_realtime,public,chat_participants
supabase_realtime,public,chat_rooms
supabase_realtime,public,matches
supabase_realtime,public,messages
supabase_realtime_messages_publication,realtime,messages_2026_07_07
supabase_realtime_messages_publication,realtime,messages_2026_07_08
supabase_realtime_messages_publication,realtime,messages_2026_07_09
supabase_realtime_messages_publication,realtime,messages_2026_07_10
supabase_realtime_messages_publication,realtime,messages_2026_07_11
supabase_realtime_messages_publication,realtime,messages_2026_07_12
supabase_realtime_messages_publication,realtime,messages_2026_07_13
